code, country, url
FRG, Federal Republic of Germany, https://raw.githubusercontent.com/hampusborgos/country-flags/main/png250px/de.png
EOR, Refugee Olympic Commitee, https://admin.itsnicethat.com/images/Dqy2YQrHD9g2N-tzYerjbVzLWb8=/27767/format-webp%7Cwidth-2880/57ac5e437fa44ccc87006d97.jpg
EUN, Unified Team, https://en.wikipedia.org/wiki/File:Olympic_flag.svg
URS, USSR, https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_Soviet_Union.svg
WIF, West Indies Federation, https://upload.wikimedia.org/wikipedia/commons/1/15/Flag_of_the_West_Indies_Federation_%281958%E2%80%931962%29.svg
ROC, Russian Olympic Committee, https://upload.wikimedia.org/wikipedia/commons/0/02/Russian_Olympic_Committee_flag.png
OAR, Olympic Athletes of Russia, https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Russia.svg
AIN, Independent Olympic Athletes, https://upload.wikimedia.org/wikipedia/commons/0/0c/Flag_of_the_Individual_Neutral_Athletes_at_the_2024_Summer_Olympics.svg
YUG, Yugoslavia, https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Yugoslavia_%281946-1992%29.svg
TCH, Czechoslavakia, https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
AHO, Netherlands Antilles, https://upload.wikimedia.org/wikipedia/commons/a/ae/Flag_of_the_Netherlands_Antilles_%281986%E2%80%932010%29.svg
ANZ, Australasia, https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_Australasian_team_for_Olympic_games.svg
BOH, Bohemia, https://upload.wikimedia.org/wikipedia/commons/9/9e/Bohemian_Olympic_Flag_%281912%29.svg
MIX, Mixed Team, https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg
